,I/2005,II/2005,III/2005,IV/2005,I/2006,II/2006,III/2006,IV/2006,I/2007,II/2007,III/2007,IV/2007,I/2008,II/2008,III/2008,IV/2008,I/2009,II/2009,III/2009,IV/2009,I/2010,II/2010,III/2010,IV/2010,I/2011,II/2011,III/2011,IV/2011,I/2012,II/2012,III/2012,IV/2012,I/2013,II/2013,III/2013
IPC a diciembre 2013,23.10%,21.70%,20.30%,18.90%,18.15%,17.40%,16.65%,15.90%,14.73%,13.55%,12.38%,11.20%,10.80%,10.40%,10.00%,9.60%,9.38%,9.15%,8.93%,8.70%,7.93%,7.15%,6.38%,5.60%,4.98%,4.35%,3.73%,3.10%,2.40%,1.70%,1.00%,0.30%,0.23%,0.15%,0.08%
Telefonía móvil,2719.91,2916.79,3096.39,3036.805,2977.22,3177.27,3363.82,3375.43,3344.76,3579.14,3657.94,3571.12,3477.52,3500.18,3565.23,3427.72,3225.56,3274.12,3372.17,3228.64,2991.41,3029.58,3099.28,2931.34,2849.81,2865.66,2900.24,2669.41,2461.91,2393.51,2403.04,2210.79,1988.47,1962.04,1892.18
Banda ancha,63.18,63.35,88.01,91.12,94.23,102.93,135.64,134.49,146.58,170.09,207.81,225.14,248.13,270.82,295.59,293.75,313.28,344.3,384.16,401.03,436.38,479.02,525.03,523.23,482.3,520.22,595.14,609.98,647.05,674.46,713.22,731.42,775.46,810.66,853.59
Total,2783.09,2980.14,3184.4,3127.925,3071.45,3280.2,3499.46,3509.92,3491.34,3749.23,3865.75,3796.26,3725.65,3771,3860.82,3721.47,3538.84,3618.42,3756.33,3629.67,3427.79,3508.6,3624.31,3454.57,3332.11,3385.88,3495.38,3279.39,3108.96,3067.97,3116.26,2942.21,2763.93,2772.7,2745.77
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banda ancha fija,481.21,526.04,547.43,586.895,626.36,670.49,730.56,720.87,823.12,849.26,845.91,890.66,921.63,974.21,954.87,963.96,968.17,987.35,974.33,982.77,971.09,987.11,955.19,957.11,941.97,942.02,940.48,940.40,912.01,898.91,894.40,898.09,891.48,882.93,869.39
Ingresos totales comunicaciones,7610.59,8158.94,7765.94,7903.9,8041.86,8435.88,8207.2,8784.47,8649.49,9100.74,8574.07,9216.68,8854.29,9158.19,8793.75,9022.48,8418.38,8436.58,8156.72,8748.79,8029.78,8248.9,8064.64,8285.2,7866.61,7915.36,7699.06,7881.37,7346.1,7206.76,6950.95,7182.08,6625.51,6757.11,6534.83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valores constantes diciembre 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telefonía móvil,3348.21,3549.73,3724.96,3610.76,3517.59,3730.11,3923.90,3912.12,3837.28,4064.11,4110.61,3971.09,3853.09,3864.20,3921.75,3756.78,3527.96,3573.70,3673.14,3509.53,3228.48,3246.19,3296.86,3095.50,2991.59,2990.32,3008.27,2752.16,2521.00,2434.20,2427.07,2217.42,1992.94,1964.98,1893.60
Banda ancha móvil,77.77,77.10,105.88,108.34,111.33,120.84,158.22,155.87,168.16,193.14,233.53,250.36,274.93,298.99,325.15,321.95,342.65,375.80,418.45,435.92,470.96,513.27,558.50,552.53,506.29,542.85,617.31,628.89,662.58,685.93,720.35,733.61,777.20,811.88,854.23
Total móvil,3425.98,3626.83,3830.83,3719.10,3628.92,3850.95,4082.12,4068.00,4005.44,4257.25,4344.14,4221.44,4128.02,4163.18,4246.90,4078.73,3870.61,3949.51,4091.58,3945.45,3699.44,3759.46,3855.36,3648.03,3497.88,3533.17,3625.58,3381.05,3183.58,3120.13,3147.42,2951.04,2770.15,2776.86,2747.83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingresos banda ancha fija,592.37,640.19,658.56,697.82,740.04,787.16,852.20,835.49,944.32,964.33,950.59,990.41,1021.17,1075.53,1050.36,1056.50,1058.94,1077.69,1061.29,1068.27,1048.05,1057.69,1016.08,1010.71,988.83,983.00,975.51,969.55,933.90,914.19,903.34,900.78,893.49,884.25,870.04
Ingresos totales banda ancha,670.14,717.29,764.43,806.16,851.38,908.00,1010.42,991.36,1112.49,1157.47,1184.12,1240.77,1296.09,1374.51,1375.51,1378.45,1401.59,1453.50,1479.74,1504.19,1519.01,1570.96,1574.58,1563.24,1495.13,1525.85,1592.82,1598.44,1596.48,1600.12,1623.70,1634.40,1670.69,1696.13,1724.27
Ingresos totales comunicaciones,9368.64,9929.43,9342.43,9397.74,9501.46,9903.72,9573.70,10181.20,9923.13,10333.89,9635.11,10248.95,9810.55,10110.64,9673.13,9888.64,9207.60,9208.53,8884.71,9509.93,8666.14,8838.70,8578.76,8749.17,8257.97,8259.68,7985.85,8125.69,7522.41,7329.27,7020.46,7203.63,6640.42,6767.25,6539.73
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Crecimiento,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-53.93%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,265.80%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-36.75%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-8.47%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,45.62%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,-32.13%,-32.13%,,,,,,,,,,,,,,,,,,,,,,,,
